100,110,120,130,140,150,160,170,180,200,250,260,300,350,360,40,400,410,50,500,510,60,600,70,700,710,900,month,por,value0,value1,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value2,value20,value3,value4,value5,value6,value7,value8,value9,y0,y1,y2,y3,y4,y5,y6,y7,year,Н1.0,Н1.1,Н1.2,Н10.1,Н12,Н2,Н3,Н4,Н7,Н9.1
878466897.0,39363945.0,135453001.0,4708.0,68658446.0,0.0,1230881.0,10324786.0,46391645.0,154275566.0,5487135.0,8197332.0,422763919.0,6390088.0,10755036.0,577039485.0,79474462.0,41903722.0,18952368.0,315283298.0,66525478.0,79474462.0,162894546.0,68663154.0,49881593.0,49881593.0,5288277.0,5,77,4708.6,101.9,2632,32.9,4.0,5.3,29879.0,6776.8,7.5,1596.9,222.7,4753.7,100.7,35.7227,74.4,27.4,47.0,19.6,3.8,15.1,2042.9,0,0,0,0,0,0,0,-1,2014,13.25,11.75,11.77,0.18,0.19,80.05,87.14,83.82,144.73,0.0
896838419.0,34287130.0,150939963.0,4708.0,68353270.0,0.0,1230713.0,10232358.0,42720093.0,156042706.0,5722290.0,8144701.0,433027478.0,5575001.0,10885317.0,589070184.0,77562646.0,39552674.0,19030018.0,341363275.0,70371598.0,77562646.0,159502499.0,68357978.0,55380905.0,55380905.0,3823684.0,6,78,4708.6,100.9,2720,32.3,3.7,4.9,29890.8,6763.1,7.5,1590.5,559.4,5881.8,100.4,34.8887,75.3,27.8,47.6,19.8,-2.9,-8.1,2095.0,0,0,0,0,0,0,0,-1,2014,13.11,11.65,11.66,0.17,0.19,73.79,89.78,93.02,147.48,0.0
947737007.0,60402843.0,167485982.0,4708.0,68331984.0,0.0,1230622.0,10148193.0,45083210.5,158113406.0,5886512.0,8072135.0,437583934.0,6262624.0,10322240.0,595697340.0,78505703.5,39821947.5,18394375.0,366275928.0,67909686.5,77438376.0,152920510.5,68336692.0,55380905.0,55380905.0,5695042.0,7,79,5108.96666667,100.6,2419,33.7,3.7,4.9,30073.1,6763.5,8.0,1797.2,850.1,7120.1,100.8,33.8434,70.2,26.1,44.0,17.9,4.1,4.4,2118.8,0,0,0,0,0,0,0,-1,2014,13.59,12.04,12.06,0.17,0.19,108.73,74.22,106.12,142.71,0.0
916955977.0,23743029.0,141374375.0,4708.0,64990968.0,0.0,1230768.0,10154942.0,47446328.0,158922155.0,6225642.0,8282558.0,469088704.0,5670936.0,11926764.0,628010859.0,79448761.0,40091221.0,20209322.0,391188581.0,65447775.0,79448761.0,146338522.0,64995676.0,55380905.0,55380905.0,5642398.0,8,80,5108.96666667,100.5,2285,32.5,3.7,4.9,30178.3,6871.2,8.0,1696.2,901.4,8254.9,101.6,35.4438,67.4,26.7,40.7,13.9,-4.1,1.4,2192.2,0,0,0,0,0,0,0,-1,2014,13.07,11.61,11.62,0.17,0.19,70.76,56.72,114.05,183.9,0.0
957930314.0,41485342.0,142196715.0,4708.0,64779708.0,0.0,1230772.0,10178809.0,49023689.0,158729398.0,6442990.0,8763019.0,490301173.0,6356420.0,11897465.0,649030571.0,80819961.0,38858595.0,20660484.0,395636056.0,67535603.0,80819961.0,161357744.0,64784416.0,65380905.0,65380905.0,9246952.0,9,81,5108.96666667,100.2,2558,30.8,3.7,4.8,30338.7,6964.1,8.0,1761.5,1188.9,9438.9,100.0,37.2945,75.4,29.2,46.2,17.0,-5.6,3.6,2263.8,0,0,0,0,0,0,0,-1,2014,13.06,11.53,11.54,0.17,0.18,49.17,82.98,108.76,186.63,0.0
1032899178.0,32019566.0,183582753.0,4708.0,63923562.0,0.0,1230913.0,10164251.0,57165794.0,158540186.0,6806443.0,9451676.0,526267445.0,5814383.0,10489796.0,684807631.0,81765611.0,37942289.0,19941472.0,436889278.0,78978452.0,81765611.0,156647159.0,63928270.0,65380905.0,65380905.0,8963389.0,10,82,5473.6,100.7,2532,31.9,3.7,4.9,30297.6,6959.3,9.5,1774.4,1110.2,10697.7,99.2,39.3836,66.7,25.3,41.5,16.2,3.1,-7.4,2241.3,0,0,0,0,0,0,0,-1,2014,12.0,10.86,10.87,0.19,0.19,96.0,73.87,88.73,229.67,0.0
1127257386.0,36879203.0,200806917.0,4708.0,65447262.0,0.0,1231242.0,10181047.0,76044744.0,158158349.0,7065764.0,9895766.0,578503914.0,5639920.0,11073236.0,736662263.0,89136321.0,40166394.0,20969002.0,483143838.0,62683522.0,89136321.0,197470532.0,65451970.0,55626814.0,55626814.0,10092097.0,11,83,5473.6,100.8,2608,32.4,3.9,5.1,29831.2,6907.6,9.5,1782.8,1495.3,11890.9,100.3,41.9627,64.1,26.0,38.1,12.1,0.9,6.5,2310.9,0,0,0,0,0,0,0,-1,2014,11.16,9.66,9.67,0.19,0.18,71.72,70.05,107.89,248.77,0.0
1201919285.0,41710507.0,222567115.0,4708.0,64515958.0,0.0,1230104.0,10121794.0,94024233.0,157470228.0,7244417.0,10489780.0,610274638.0,6093751.0,11471563.0,767744866.0,93321766.0,39009891.0,21961343.0,533444265.0,77684538.0,93321766.0,186947213.0,64520666.0,60626814.0,60626814.0,10127704.0,12,84,5473.6,101.3,2426,32.5,3.9,5.2,30141.9,7038.5,10.5,1862.3,1649.0,12950.9,99.5,51.8068,68.4,26.8,41.5,14.7,-1.0,-1.7,2343.6,0,0,0,0,0,0,0,-1,2014,10.78,9.47,9.48,0.19,0.18,41.13,68.2,96.12,302.09,0.0
1384673921.0,75200713.0,279525621.0,4708.0,64509600.0,0.0,1230104.0,10074036.0,151285777.0,156941515.0,7626766.0,10788994.0,645901847.0,4612525.0,10529714.0,802843362.0,108227835.0,40859394.0,21318708.0,680764974.0,80676995.0,108227835.0,180249511.0,64514308.0,60626813.0,60626813.0,8873092.0,1,85,5724.43333333,102.6,2006,42.1,4.0,5.3,31615.7,7171.5,15.0,1891.4,87.6,14496.1,100.8,56.2376,59.8,23.1,36.8,13.7,26.5,34.8,2954.8,0,0,0,0,0,0,0,-1,2015,13.23,11.74,11.75,0.19,0.18,112.89,66.71,96.96,180.1,0.0
1546867270.0,95837262.0,295783352.0,4708.0,63349046.0,0.0,1230104.0,10617025.0,164294596.0,155012395.0,7655346.0,11668793.0,760738782.0,4068969.0,12047434.0,915751177.0,119083449.0,42499374.0,23716227.0,778421649.0,122007675.0,119083449.0,175586254.0,63353754.0,60626813.0,60626813.0,-3523780.0,2,86,5724.43333333,103.9,2507,30.9,4.2,5.5,31033.8,6700.3,15.0,1881.3,-246.4,1316.5,101.3,69.664,62.9,24.5,38.4,13.9,-28.7,-49.3,2050.5,0,0,0,0,0,0,0,-1,2015,11.67,9.99,10.0,0.2,0.38,86.92,83.29,87.09,249.39,0.0
1371787308.0,64183099.0,262380153.0,4708.0,60771099.0,0.0,1230104.0,10511757.0,128414173.0,149537708.0,7577722.0,11145541.0,694754507.0,4642212.0,12913395.0,844292215.0,116230258.0,39776843.0,24058936.0,650582576.0,82725161.0,116230258.0,179332697.0,60775807.0,50753025.0,50753025.0,3048760.0,3,87,5724.43333333,102.2,2875,31.3,4.4,5.8,31225.0,6671.9,14.0,1955.8,-675.7,2278.0,102.1,62.2248,40.0,12.2,27.9,15.7,-0.7,31.9,2024.4,0,0,0,0,0,0,0,-1,2015,12.54,10.84,10.84,0.19,0.36,149.21,132.13,76.21,236.12,0.0
1321734936.0,52540614.0,270968013.0,4708.0,60451850.0,0.0,1230104.0,10465836.0,115206830.0,144852164.0,7690929.0,11352948.0,666014817.0,4058905.0,13886286.0,810866981.0,118716024.0,42209135.0,25239234.0,624821193.0,83888247.0,118716024.0,181262674.0,60456558.0,50722367.0,50722367.0,2586674.0,4,88,4619.2,101.2,2947,32.6,4.5,5.9,31028.9,6540.8,12.5,1995.1,-651.1,3436.8,105.5,57.65,44.8,15.4,29.4,14.0,3.4,-3.3,2196.6,0,0,0,0,0,0,0,-1,2015,14.99,11.33,11.34,0.15,0.3,212.15,170.01,67.32,148.27,0.0
